plate,lat,lon
au,-40.979,175.012
au,-40.791,175.324
au,-40.598,175.537
au,-40.311,175.868
au,-40.046,176.074
au,-39.23,175.609
au,-38.762,175.932
au,-38.674,175.995
au,-38.287,176.241
au,-37.885,176.509
au,-37.485,176.77
au,-37.102,177.049
au,-36.461,177.507
au,-35.917,177.89
au,-35.161,178.403
au,-34.786,178.681
au,-34.246,178.996
au,-33.602,179.345
au,-33.019,179.657
au,-32.347,179.98
au,-31.751,-179.74
au,-31.333,-179.515
au,-30.997,-179.393
au,-30.355,-179.226
au,-29.792,-179.074
au,-29.498,-178.966
au,-28.693,-178.713
au,-27.985,-178.482
au,-27.377,-178.248
au,-26.767,-178.017
au,-25.976,-177.793
au,-25.197,-177.657
au,-24.72,-177.552
au,-24.242,-177.448
au,-24.105,-177.419
au,-24.105,-177.419
au,-23.708,-177.25
au,-23.414,-177.102
au,-23.048,-176.913
au,-22.735,-176.748
au,-22.5,-176.709
au,-22.286,-176.691
au,-22.231,-176.635
au,-22.007,-176.601
au,-21.811,-176.52
au,-21.601,-176.449
au,-21.487,-176.405
au,-21.301,-176.372
au,-21.113,-176.322
au,-21.0,-176.289
au,-20.891,-176.264
au,-20.796,-176.237
au,-20.655,-176.19
au,-20.494,-176.176
au,-20.423,-176.159
au,-20.265,-176.152
au,-20.129,-176.116
au,-20.106,-176.182
au,-19.884,-176.122
au,-19.814,-176.079
au,-19.651,-176.027
au,-19.387,-175.979
au,-19.387,-175.979
au,-19.217,-176.549
au,-18.975,-176.57
au,-18.836,-176.587
au,-18.768,-176.584
